match_id,innings,over_mark,runs_so_far,wickets_down,current_run_rate,balls_since_boundary,final_score,batting_team
71932764,2,6,40,2,6.666666666666667,0,123,Peshawar Zalmi SRL
71932766,1,6,52,2,8.666666666666666,0,181,Karachi Kings SRL
71932766,2,6,51,1,8.5,0,175,Quetta Gladiators SRL
71932768,1,6,48,1,8.0,0,179,Rawalpindiz Srl
71932768,2,6,48,1,8.0,0,154,Lahore Qalandars SRL
71932770,1,6,37,2,6.166666666666667,0,133,Multan Sultans SRL
71932772,1,6,33,0,5.5,0,108,Islamabad United SRL
71932772,2,6,47,1,7.833333333333333,0,109,Quetta Gladiators SRL
71932774,1,6,38,2,6.333333333333333,0,139,Karachi Kings SRL
71932774,2,6,38,0,6.333333333333333,0,140,Rawalpindiz Srl
71932776,1,6,47,1,7.833333333333333,0,168,Multan Sultans SRL
71932776,2,6,43,1,7.166666666666667,0,143,Lahore Qalandars SRL
71932778,1,6,42,3,7.0,0,140,Hyderabad Kingsmen Srl
71932778,2,6,52,2,8.666666666666666,0,146,Peshawar Zalmi SRL
71932780,1,6,25,3,4.166666666666667,0,142,Islamabad United Srl
71932780,2,6,50,1,8.333333333333334,0,143,Rawalpindiz Srl
71932782,1,6,54,2,9.0,0,192,Multan Sultans SRL
71932782,2,6,61,1,10.166666666666666,0,178,Karachi Kings SRL
71932784,1,6,34,2,5.666666666666667,0,150,Lahore Qalandars SRL
71932784,2,6,61,1,10.166666666666666,0,154,Peshawar Zalmi SRL
71932798,1,6,52,2,8.666666666666666,0,170,Joburg Super Kings SRL
71932798,2,6,65,0,10.833333333333334,0,171,Durban Super Giants SRL
71932800,1,6,56,2,9.333333333333334,0,170,Paarl Royals SRL
71932800,2,6,43,0,7.166666666666667,0,157,Mi Cape Town SRL
71932802,1,6,56,1,9.333333333333334,0,202,Pretoria Capitals SRL
71932802,2,6,33,4,5.5,0,123,Sunrisers Eastern Cape SRL
71932804,1,6,45,1,7.5,0,151,Paarl Royals SRL
71932804,2,6,54,0,9.0,0,156,Durban Super Giants SRL
71932806,1,6,33,2,5.5,0,150,Mi Cape Town SRL
71932806,2,6,47,1,7.833333333333333,0,144,Sunrisers Eastern Cape SRL
71932808,1,6,46,3,7.666666666666667,0,171,Joburg Super Kings SRL
71932808,2,6,57,1,9.5,0,172,Pretoria Capitals SRL
71932810,1,6,38,1,6.333333333333333,0,151,Durban Super Giants SRL
71932810,2,6,40,4,6.666666666666667,0,117,Sunrisers Eastern Cape SRL
71932812,1,6,51,1,8.5,0,215,Mi Cape Town SRL
71932812,2,6,53,1,8.833333333333334,0,176,Pretoria Capitals SRL
71932814,1,6,42,1,7.0,0,186,Joburg Super Kings SRL
71932814,2,6,46,1,7.666666666666667,0,182,Paarl Royals SRL
71932816,1,6,57,2,9.5,0,187,Durban Super Giants SRL
71932816,2,6,56,1,9.333333333333334,0,188,Mi Cape Town SRL
